nohup: ignoring input
[Scorer] 模型加载完成: 63.9M params, device=cuda:0
/root/trainer/../scripts/data_quality_scorer.py:171: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(dtype=self.dtype):
[Score] 1600/1270238 (0.1%) speed=257 samples/s, ETA=4940s
[Score] 3200/1270238 (0.3%) speed=295 samples/s, ETA=4293s
[Score] 4800/1270238 (0.4%) speed=310 samples/s, ETA=4079s
[Score] 6400/1270238 (0.5%) speed=320 samples/s, ETA=3948s
[Score] 8000/1270238 (0.6%) speed=327 samples/s, ETA=3857s
[Score] 9600/1270238 (0.8%) speed=333 samples/s, ETA=3790s
[Score] 11200/1270238 (0.9%) speed=336 samples/s, ETA=3747s
[Score] 12800/1270238 (1.0%) speed=339 samples/s, ETA=3711s
[Score] 14400/1270238 (1.1%) speed=341 samples/s, ETA=3684s
[Score] 16000/1270238 (1.3%) speed=343 samples/s, ETA=3662s
[Score] 17600/1270238 (1.4%) speed=344 samples/s, ETA=3645s
[Score] 19200/1270238 (1.5%) speed=344 samples/s, ETA=3639s
[Score] 20800/1270238 (1.6%) speed=345 samples/s, ETA=3625s
[Score] 22400/1270238 (1.8%) speed=345 samples/s, ETA=3616s
[Score] 24000/1270238 (1.9%) speed=346 samples/s, ETA=3600s
[Score] 25600/1270238 (2.0%) speed=347 samples/s, ETA=3590s
[Score] 27200/1270238 (2.1%) speed=348 samples/s, ETA=3574s
[Score] 28800/1270238 (2.3%) speed=348 samples/s, ETA=3563s
[Score] 30400/1270238 (2.4%) speed=349 samples/s, ETA=3554s
[Score] 32000/1270238 (2.5%) speed=349 samples/s, ETA=3547s
[Score] 33600/1270238 (2.6%) speed=350 samples/s, ETA=3536s
[Score] 35200/1270238 (2.8%) speed=350 samples/s, ETA=3527s
[Score] 36800/1270238 (2.9%) speed=350 samples/s, ETA=3519s
[Score] 38400/1270238 (3.0%) speed=351 samples/s, ETA=3512s
[Score] 40000/1270238 (3.1%) speed=351 samples/s, ETA=3508s
[Score] 41600/1270238 (3.3%) speed=351 samples/s, ETA=3499s
[Score] 43200/1270238 (3.4%) speed=351 samples/s, ETA=3495s
[Score] 44800/1270238 (3.5%) speed=351 samples/s, ETA=3490s
[Score] 46400/1270238 (3.7%) speed=351 samples/s, ETA=3482s
[Score] 48000/1270238 (3.8%) speed=352 samples/s, ETA=3474s
[Score] 49600/1270238 (3.9%) speed=352 samples/s, ETA=3468s
[Score] 51200/1270238 (4.0%) speed=352 samples/s, ETA=3460s
[Score] 52800/1270238 (4.2%) speed=353 samples/s, ETA=3453s
[Score] 54400/1270238 (4.3%) speed=353 samples/s, ETA=3447s
[Score] 56000/1270238 (4.4%) speed=353 samples/s, ETA=3443s
[Score] 57600/1270238 (4.5%) speed=353 samples/s, ETA=3437s
[Score] 59200/1270238 (4.7%) speed=353 samples/s, ETA=3431s
[Score] 60800/1270238 (4.8%) speed=353 samples/s, ETA=3425s
[Score] 62400/1270238 (4.9%) speed=353 samples/s, ETA=3420s
[Score] 64000/1270238 (5.0%) speed=353 samples/s, ETA=3414s
[Score] 65600/1270238 (5.2%) speed=353 samples/s, ETA=3408s
[Score] 67200/1270238 (5.3%) speed=354 samples/s, ETA=3402s
[Score] 68800/1270238 (5.4%) speed=354 samples/s, ETA=3398s
[Score] 70400/1270238 (5.5%) speed=354 samples/s, ETA=3393s
[Score] 72000/1270238 (5.7%) speed=354 samples/s, ETA=3388s
[Score] 73600/1270238 (5.8%) speed=354 samples/s, ETA=3383s
[Score] 75200/1270238 (5.9%) speed=354 samples/s, ETA=3380s
[Score] 76800/1270238 (6.0%) speed=354 samples/s, ETA=3376s
[Score] 78400/1270238 (6.2%) speed=353 samples/s, ETA=3373s
[Score] 80000/1270238 (6.3%) speed=354 samples/s, ETA=3367s
[Score] 81600/1270238 (6.4%) speed=354 samples/s, ETA=3360s
[Score] 83200/1270238 (6.5%) speed=354 samples/s, ETA=3354s
[Score] 84800/1270238 (6.7%) speed=354 samples/s, ETA=3350s
[Score] 86400/1270238 (6.8%) speed=354 samples/s, ETA=3345s
[Score] 88000/1270238 (6.9%) speed=354 samples/s, ETA=3340s
[Score] 89600/1270238 (7.1%) speed=354 samples/s, ETA=3336s
[Score] 91200/1270238 (7.2%) speed=354 samples/s, ETA=3330s
[Score] 92800/1270238 (7.3%) speed=354 samples/s, ETA=3326s
[Score] 94400/1270238 (7.4%) speed=354 samples/s, ETA=3321s
[Score] 96000/1270238 (7.6%) speed=354 samples/s, ETA=3315s
[Score] 97600/1270238 (7.7%) speed=354 samples/s, ETA=3309s
[Score] 99200/1270238 (7.8%) speed=354 samples/s, ETA=3304s
[Score] 100800/1270238 (7.9%) speed=354 samples/s, ETA=3300s
[Score] 102400/1270238 (8.1%) speed=354 samples/s, ETA=3295s
[Score] 104000/1270238 (8.2%) speed=355 samples/s, ETA=3289s
[Score] 105600/1270238 (8.3%) speed=355 samples/s, ETA=3284s
[Score] 107200/1270238 (8.4%) speed=355 samples/s, ETA=3278s
[Score] 108800/1270238 (8.6%) speed=355 samples/s, ETA=3273s
[Score] 110400/1270238 (8.7%) speed=355 samples/s, ETA=3267s
[Score] 112000/1270238 (8.8%) speed=358 samples/s, ETA=3235s
[Score] 113600/1270238 (8.9%) speed=361 samples/s, ETA=3205s
[Score] 115200/1270238 (9.1%) speed=364 samples/s, ETA=3176s
[Score] 116800/1270238 (9.2%) speed=366 samples/s, ETA=3155s
[Score] 118400/1270238 (9.3%) speed=368 samples/s, ETA=3126s
[Score] 120000/1270238 (9.4%) speed=371 samples/s, ETA=3098s
[Score] 121600/1270238 (9.6%) speed=373 samples/s, ETA=3077s
[Score] 123200/1270238 (9.7%) speed=376 samples/s, ETA=3049s
[Score] 124800/1270238 (9.8%) speed=379 samples/s, ETA=3020s
[Score] 126400/1270238 (10.0%) speed=382 samples/s, ETA=2997s
[Score] 128000/1270238 (10.1%) speed=384 samples/s, ETA=2973s
[Score] 129600/1270238 (10.2%) speed=387 samples/s, ETA=2949s
[Score] 131200/1270238 (10.3%) speed=389 samples/s, ETA=2928s
[Score] 132800/1270238 (10.5%) speed=391 samples/s, ETA=2908s
[Score] 134400/1270238 (10.6%) speed=393 samples/s, ETA=2887s
[Score] 136000/1270238 (10.7%) speed=396 samples/s, ETA=2863s
[Score] 137600/1270238 (10.8%) speed=399 samples/s, ETA=2839s
[Score] 139200/1270238 (11.0%) speed=402 samples/s, ETA=2817s
[Score] 140800/1270238 (11.1%) speed=404 samples/s, ETA=2794s
[Score] 142400/1270238 (11.2%) speed=407 samples/s, ETA=2773s
[Score] 144000/1270238 (11.3%) speed=409 samples/s, ETA=2752s
[Score] 145600/1270238 (11.5%) speed=411 samples/s, ETA=2734s
[Score] 147200/1270238 (11.6%) speed=413 samples/s, ETA=2718s
[Score] 148800/1270238 (11.7%) speed=415 samples/s, ETA=2704s
[Score] 150400/1270238 (11.8%) speed=416 samples/s, ETA=2691s
[Score] 152000/1270238 (12.0%) speed=418 samples/s, ETA=2677s
[Score] 153600/1270238 (12.1%) speed=420 samples/s, ETA=2658s
[Score] 155200/1270238 (12.2%) speed=422 samples/s, ETA=2640s
[Score] 156800/1270238 (12.3%) speed=425 samples/s, ETA=2622s
[Score] 158400/1270238 (12.5%) speed=427 samples/s, ETA=2604s
[Score] 160000/1270238 (12.6%) speed=429 samples/s, ETA=2587s
[Score] 161600/1270238 (12.7%) speed=431 samples/s, ETA=2570s
[Score] 163200/1270238 (12.8%) speed=434 samples/s, ETA=2553s
[Score] 164800/1270238 (13.0%) speed=436 samples/s, ETA=2537s
[Score] 166400/1270238 (13.1%) speed=438 samples/s, ETA=2521s
[Score] 168000/1270238 (13.2%) speed=440 samples/s, ETA=2505s
[Score] 169600/1270238 (13.4%) speed=442 samples/s, ETA=2490s
[Score] 171200/1270238 (13.5%) speed=444 samples/s, ETA=2475s
[Score] 172800/1270238 (13.6%) speed=446 samples/s, ETA=2460s
[Score] 174400/1270238 (13.7%) speed=448 samples/s, ETA=2446s
[Score] 176000/1270238 (13.9%) speed=450 samples/s, ETA=2432s
[Score] 177600/1270238 (14.0%) speed=452 samples/s, ETA=2418s
[Score] 179200/1270238 (14.1%) speed=454 samples/s, ETA=2404s
[Score] 180800/1270238 (14.2%) speed=456 samples/s, ETA=2390s
[Score] 182400/1270238 (14.4%) speed=458 samples/s, ETA=2377s
[Score] 184000/1270238 (14.5%) speed=460 samples/s, ETA=2364s
[Score] 185600/1270238 (14.6%) speed=461 samples/s, ETA=2351s
[Score] 187200/1270238 (14.7%) speed=463 samples/s, ETA=2338s
[Score] 188800/1270238 (14.9%) speed=465 samples/s, ETA=2325s
[Score] 190400/1270238 (15.0%) speed=467 samples/s, ETA=2313s
[Score] 192000/1270238 (15.1%) speed=469 samples/s, ETA=2301s
[Score] 193600/1270238 (15.2%) speed=470 samples/s, ETA=2289s
[Score] 195200/1270238 (15.4%) speed=472 samples/s, ETA=2276s
[Score] 196800/1270238 (15.5%) speed=475 samples/s, ETA=2261s
[Score] 198400/1270238 (15.6%) speed=477 samples/s, ETA=2246s
[Score] 200000/1270238 (15.7%) speed=480 samples/s, ETA=2232s
[Score] 201600/1270238 (15.9%) speed=482 samples/s, ETA=2218s
[Score] 203200/1270238 (16.0%) speed=483 samples/s, ETA=2208s
[Score] 204800/1270238 (16.1%) speed=485 samples/s, ETA=2197s
[Score] 206400/1270238 (16.2%) speed=487 samples/s, ETA=2186s
[Score] 208000/1270238 (16.4%) speed=488 samples/s, ETA=2175s
[Score] 209600/1270238 (16.5%) speed=490 samples/s, ETA=2165s
[Score] 211200/1270238 (16.6%) speed=492 samples/s, ETA=2154s
[Score] 212800/1270238 (16.8%) speed=493 samples/s, ETA=2144s
[Score] 214400/1270238 (16.9%) speed=495 samples/s, ETA=2134s
